model,dataset,pooling,package,method,condition,type,focus,stat_obs,stat_pred,stat_df,p
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,strong_naming,pb-G2,mean,81.82881158434816,NA,0,0.09181636726546906
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,PB/MLE,weak_naming,pb-G2,mean,76.71176620929975,NA,0,0.06387225548902195
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,asymptotic,strong_naming,G2,mean,81.82881158434816,NA,0,0
model_orig_n_rrest.eqn,exp3.txt,no,MPTinR,asymptotic,weak_naming,G2,mean,76.71176620929975,NA,0,0
model_orig_n_rrest.eqn,exp3.txt,complete,MPTinR,asymptotic,strong_naming,G2,mean,4.7343063550652005,NA,0,0
model_orig_n_rrest.eqn,exp3.txt,complete,MPTinR,asymptotic,weak_naming,G2,mean,1.841424446705787,NA,0,0
model_orig_n_rrest.eqn,exp3.txt,no,TreeBUGS,simple,strong_naming,T1_G2,mean,4.075205820755653,1.1339575273654403,NA,0
model_orig_n_rrest.eqn,exp3.txt,no,TreeBUGS,simple,weak_naming,T1_G2,mean,5.4750769823266054,1.229755682740778,NA,0
model_orig_n_rrest.eqn,exp3.txt,no,TreeBUGS,simple,strong_naming,T2,cov,555.6157262398339,523.6749672980012,NA,0.3765
model_orig_n_rrest.eqn,exp3.txt,no,TreeBUGS,simple,weak_naming,T2,cov,561.2814957947222,581.0967269779538,NA,0.549
model_orig_n_rrest.eqn,exp3.txt,complete,TreeBUGS,simple,strong_naming,T1_G2,mean,32.414161775394355,28.053439121058595,NA,0.342
model_orig_n_rrest.eqn,exp3.txt,complete,TreeBUGS,simple,weak_naming,T1_G2,mean,32.07695181456437,28.09121827427976,NA,0.3585
model_orig_n_rrest.eqn,exp3.txt,partial,TreeBUGS,trait,strong_naming,T1_G2,mean,1.5496705992596551,1.1446729354205003,NA,0.1835
model_orig_n_rrest.eqn,exp3.txt,partial,TreeBUGS,trait,weak_naming,T1_G2,mean,1.7922409973944586,1.2544337651996817,NA,0.14
model_orig_n_rrest.eqn,exp3.txt,partial,TreeBUGS,trait,strong_naming,T2,cov,571.4420568761952,515.491738900461,NA,0.3355
model_orig_n_rrest.eqn,exp3.txt,partial,TreeBUGS,trait,weak_naming,T2,cov,615.8526034565218,570.9193623392533,NA,0.36
model_orig_n_rrest.eqn,exp3.txt,partial,TreeBUGS,trait_uncorrelated,strong_naming,T1_G2,mean,1.6234750445845625,1.1461507314918766,NA,0.148
model_orig_n_rrest.eqn,exp3.txt,partial,TreeBUGS,trait_uncorrelated,weak_naming,T1_G2,mean,1.8772807093594794,1.2471569480918103,NA,0.0965
model_orig_n_rrest.eqn,exp3.txt,partial,TreeBUGS,trait_uncorrelated,strong_naming,T2,cov,788.6498582969222,508.3654494070709,NA,0.032
model_orig_n_rrest.eqn,exp3.txt,partial,TreeBUGS,trait_uncorrelated,weak_naming,T2,cov,763.4915178154836,560.518043322066,NA,0.084
