24	20	2	1	3	2	2	66	64	34	8	4	1	2	1	6
13	5	11	1	3	1	0	86	44	23	26	10	3	1	0	13
22	0	0	0	2	0	0	96	120	0	0	0	0	0	0	0
0	2	7	28	15	26	3	39	7	7	10	83	12	0	0	1
4	28	20	10	3	4	24	27	1	23	20	10	10	2	25	29
2	24	7	15	9	30	19	14	1	23	23	9	9	14	16	25
7	12	16	17	6	10	9	43	40	25	31	10	3	3	6	2
1	12	2	10	13	16	30	36	3	31	41	30	13	0	2	0
4	0	28	27	9	11	8	33	12	13	45	35	8	3	2	2
16	4	4	1	3	3	3	86	77	9	9	4	3	4	0	14
59	0	0	0	1	2	0	58	116	1	0	1	0	0	1	1
20	1	5	9	1	4	0	80	71	10	16	8	10	1	0	4
3	13	11	4	5	8	2	74	37	32	11	3	4	11	10	12
0	15	1	14	6	4	80	0	0	79	8	23	2	1	7	0
2	0	1	45	10	16	3	43	4	2	6	87	11	6	1	3
4	5	5	3	8	11	5	79	34	32	32	10	6	4	0	2
27	0	1	0	0	1	0	91	120	0	0	0	0	0	0	0
3	2	6	5	7	5	4	88	42	27	16	10	5	9	4	7
33	2	1	8	2	0	1	73	98	5	2	9	0	0	0	6
9	0	1	1	0	0	0	109	101	0	1	12	0	0	0	6
2	0	4	3	3	6	1	101	42	12	21	20	9	6	2	8
4	3	10	25	17	8	3	50	30	7	22	46	11	3	0	1
7	7	22	31	10	9	1	33	18	15	42	29	7	7	0	2
0	0	5	5	3	7	18	82	3	54	42	18	2	1	0	0
11	0	5	3	4	1	2	94	104	9	2	5	0	0	0	0
3	5	11	10	9	19	11	52	8	17	40	24	14	14	0	3
12	8	10	5	10	6	9	60	44	23	14	18	8	7	3	3
2	4	1	6	3	2	6	96	64	16	15	14	3	4	3	1
1	7	2	23	10	10	6	61	21	12	24	34	9	6	7	7
1	9	1	20	18	15	56	0	0	22	35	54	2	3	3	1
4	14	1	17	11	17	22	34	29	44	20	19	1	1	5	1
2	4	0	4	7	1	15	87	65	33	7	11	1	0	3	0
15	1	4	3	0	4	2	91	75	6	8	2	0	1	1	27
41	0	0	0	0	0	1	78	115	0	0	0	0	0	0	5
1	15	36	5	4	14	16	29	4	12	64	12	6	13	4	5
33	16	12	3	3	2	3	48	51	28	10	12	1	2	2	14
22	4	6	2	1	2	4	79	63	10	5	6	0	2	2	32
0	19	20	15	9	4	14	39	5	20	26	14	15	4	13	23
20	0	0	3	6	0	0	91	84	1	0	13	5	1	0	16
15	0	5	0	2	3	2	93	90	4	9	5	1	3	1	7
36	10	8	2	2	3	13	46	41	7	5	4	6	4	9	44
9	2	9	27	7	14	7	45	42	8	18	38	8	2	0	4
1	2	3	12	5	1	0	96	26	25	31	31	2	1	0	4
0	0	2	73	16	5	2	22	1	4	1	105	7	0	0	2
33	0	2	11	1	2	0	71	100	0	8	7	1	0	0	4
16	4	1	0	1	0	0	98	76	7	1	3	0	0	0	33
35	0	0	2	5	1	0	77	79	3	1	3	0	0	1	33
20	0	0	0	0	0	0	100	95	0	0	0	0	1	1	23
15	11	3	8	0	1	6	76	47	25	10	14	7	3	4	10
57	0	0	0	0	1	2	60	120	0	0	0	0	0	0	0
4	0	0	0	0	0	0	116	114	0	0	0	0	0	0	6
12	11	4	2	1	2	8	80	57	26	8	2	4	8	8	7
24	3	2	1	5	4	3	78	95	10	5	5	1	2	1	1
11	0	0	0	1	0	0	108	118	0	0	0	0	0	0	2
0	4	12	17	11	23	7	46	14	16	47	28	6	7	1	1
4	7	11	13	6	18	9	52	35	28	24	15	5	9	1	3
20	0	0	0	3	2	5	90	89	7	3	7	4	0	2	8
10	0	4	2	1	3	0	100	100	2	4	1	0	2	0	11
2	2	3	7	12	7	5	82	27	16	39	35	0	2	0	1
5	0	2	0	1	4	3	105	96	11	1	5	1	2	1	3
6	3	6	4	2	13	10	76	51	18	24	17	2	3	0	5
0	0	4	39	15	10	8	44	0	6	15	97	1	1	0	0
1	4	8	2	3	7	1	94	7	37	42	10	14	6	0	4
20	3	2	6	4	1	2	82	87	1	10	16	2	0	0	4
0	0	1	0	1	1	0	117	73	20	15	8	0	3	0	1
10	7	6	3	5	11	6	72	58	14	12	8	4	7	6	11
3	11	11	14	16	12	12	41	7	17	26	32	15	7	5	11
0	0	13	8	4	12	10	73	5	8	43	26	5	12	4	17

