"OLD_3new","OLD_2new","OLD_1new","OLD_1old","OLD_2old","OLD_3old","NEW_3new","NEW_2new","NEW_1new","NEW_1old","NEW_2old","NEW_3old","exp","id"
5,9,12,19,32,203,158,45,29,19,16,13,"Heathcote_2006_e2","1:Heathcote_2006_e2"
4,13,18,27,68,150,67,74,45,42,45,7,"Heathcote_2006_e2","2:Heathcote_2006_e2"
1,26,48,59,45,101,30,134,73,37,5,1,"Heathcote_2006_e2","3:Heathcote_2006_e2"
14,10,13,19,23,201,129,48,55,26,14,8,"Heathcote_2006_e2","4:Heathcote_2006_e2"
8,9,8,17,35,203,87,77,75,29,12,0,"Heathcote_2006_e2","5:Heathcote_2006_e2"
10,29,17,49,77,98,76,92,37,28,34,13,"Heathcote_2006_e2","6:Heathcote_2006_e2"
1,3,20,26,50,180,63,97,63,48,8,1,"Heathcote_2006_e2","7:Heathcote_2006_e2"
6,10,34,79,53,98,96,97,69,16,1,1,"Heathcote_2006_e2","8:Heathcote_2006_e2"
8,27,7,36,30,172,77,70,48,37,31,16,"Heathcote_2006_e2","9:Heathcote_2006_e2"
1,5,29,63,85,97,35,77,116,42,10,0,"Heathcote_2006_e2","10:Heathcote_2006_e2"
2,15,38,66,94,65,49,73,111,43,3,1,"Heathcote_2006_e2","11:Heathcote_2006_e2"
22,17,3,12,21,205,165,46,15,15,20,19,"Heathcote_2006_e2","12:Heathcote_2006_e2"
29,14,33,34,24,146,168,16,41,25,9,21,"Heathcote_2006_e2","13:Heathcote_2006_e2"
6,17,12,38,48,159,117,86,41,25,10,1,"Heathcote_2006_e2","14:Heathcote_2006_e2"
30,53,41,25,40,91,102,81,46,18,24,9,"Heathcote_2006_e2","15:Heathcote_2006_e2"
8,14,11,27,29,191,80,81,45,49,16,8,"Heathcote_2006_e2","16:Heathcote_2006_e2"
1,17,4,21,39,198,77,101,50,40,12,0,"Heathcote_2006_e2","17:Heathcote_2006_e2"
9,38,48,72,70,43,26,56,96,61,40,1,"Heathcote_2006_e2","18:Heathcote_2006_e2"
3,26,37,50,52,112,31,140,78,26,3,2,"Heathcote_2006_e2","19:Heathcote_2006_e2"
6,30,38,45,54,107,48,135,61,26,10,0,"Heathcote_2006_e2","20:Heathcote_2006_e2"
0,11,47,101,73,48,15,75,125,62,3,0,"Heathcote_2006_e2","21:Heathcote_2006_e2"
11,16,6,10,24,213,172,67,23,6,6,6,"Heathcote_2006_e2","22:Heathcote_2006_e2"
2,9,12,34,31,192,82,110,51,32,4,1,"Heathcote_2006_e2","23:Heathcote_2006_e2"
