model,dataset,pooling,package,method,condition,type,focus,stat_obs,stat_pred,stat_df,p
model_orig_n.eqn,exp2.txt,no,MPTinR,PB/MLE,strong_naming,pb-G2,mean,356.4977187894628,NA,100,0.001996007984031936
model_orig_n.eqn,exp2.txt,no,MPTinR,PB/MLE,weak_naming,pb-G2,mean,464.7772999289151,NA,104,0.001996007984031936
model_orig_n.eqn,exp2.txt,no,MPTinR,asymptotic,strong_naming,G2,mean,356.4977187894628,NA,100,1.746081328484139e-30
model_orig_n.eqn,exp2.txt,no,MPTinR,asymptotic,weak_naming,G2,mean,464.7772999289151,NA,104,4.657454160656077e-47
model_orig_n.eqn,exp2.txt,complete,MPTinR,asymptotic,strong_naming,G2,mean,12.834136426827172,NA,4,0.012115321910888191
model_orig_n.eqn,exp2.txt,complete,MPTinR,asymptotic,weak_naming,G2,mean,14.311924479232403,NA,4,0.006363269148179647
model_orig_n.eqn,exp2.txt,no,TreeBUGS,simple,strong_naming,T1_G2,mean,4.649161164422376,1.0649050032839282,NA,0
model_orig_n.eqn,exp2.txt,no,TreeBUGS,simple,weak_naming,T1_G2,mean,5.7946697411832,1.0279270659482296,NA,0
model_orig_n.eqn,exp2.txt,no,TreeBUGS,simple,strong_naming,T2,cov,568.1430438239624,388.1782502900268,NA,0.011
model_orig_n.eqn,exp2.txt,no,TreeBUGS,simple,weak_naming,T2,cov,788.6372693545379,351.91986037039874,NA,0
model_orig_n.eqn,exp2.txt,complete,TreeBUGS,simple,strong_naming,T1_G2,mean,38.101778309114955,27.820831806684442,NA,0.1515
model_orig_n.eqn,exp2.txt,complete,TreeBUGS,simple,weak_naming,T1_G2,mean,39.88369573631868,28.00752460231128,NA,0.1105
model_orig_n.eqn,exp2.txt,partial,TreeBUGS,trait,strong_naming,T1_G2,mean,1.8696844417471816,1.0674453820162415,NA,0.0315
model_orig_n.eqn,exp2.txt,partial,TreeBUGS,trait,weak_naming,T1_G2,mean,3.0107683554611016,1.0183098887994007,NA,0
model_orig_n.eqn,exp2.txt,partial,TreeBUGS,trait,strong_naming,T2,cov,613.7567078089969,380.5399022304028,NA,0.006
model_orig_n.eqn,exp2.txt,partial,TreeBUGS,trait,weak_naming,T2,cov,781.7277397625361,352.8802625434578,NA,5e-4
model_orig_n.eqn,exp2.txt,partial,TreeBUGS,trait_uncorrelated,strong_naming,T1_G2,mean,2.1173075923437716,1.071840987872982,NA,0.012
model_orig_n.eqn,exp2.txt,partial,TreeBUGS,trait_uncorrelated,weak_naming,T1_G2,mean,2.6594348611907446,1.0434097160145028,NA,5e-4
model_orig_n.eqn,exp2.txt,partial,TreeBUGS,trait_uncorrelated,strong_naming,T2,cov,710.7583413016995,388.04976668357455,NA,0
model_orig_n.eqn,exp2.txt,partial,TreeBUGS,trait_uncorrelated,weak_naming,T2,cov,1082.3236791635425,353.0138020577236,NA,0
