3	0	0	14	1	3	0	15	26	0	0	44	6	0	0	8	0	0	0	9	20	4	0	51	9	0	0	8	10	0	0	9
0	0	0	15	7	4	2	8	2	0	2	77	3	0	0	0	0	0	0	8	61	2	1	12	1	0	0	6	28	0	1	0
2	2	3	8	10	3	0	8	37	22	1	21	2	1	0	0	0	6	1	6	33	10	1	27	5	0	0	15	15	0	1	0
6	1	0	9	7	0	0	13	38	28	5	6	1	1	4	1	1	12	4	2	13	9	9	34	9	8	0	1	2	2	10	4
2	1	2	2	5	0	1	23	37	6	3	22	5	5	3	3	1	0	3	4	22	8	7	39	19	0	0	4	7	3	2	1
0	0	2	4	3	1	7	19	46	12	4	19	3	0	0	0	0	1	5	8	17	5	1	47	10	2	0	16	6	2	0	0
0	0	8	11	10	0	2	5	12	7	8	52	5	0	0	0	0	0	7	5	32	9	7	24	12	1	0	9	8	2	3	1
4	0	2	7	4	2	5	12	41	2	3	25	3	1	5	4	4	0	0	2	21	14	13	30	14	1	1	8	1	4	4	3
0	0	5	12	10	2	2	5	37	1	2	38	4	1	0	1	2	0	4	13	34	8	2	21	13	0	0	11	10	1	1	0
0	0	0	5	5	0	2	24	32	15	15	21	1	0	0	0	0	1	6	2	13	6	16	40	23	4	0	5	4	0	0	0
9	3	1	3	0	0	1	19	48	10	0	7	3	1	6	9 	12	7	0	0	9	4	2	50	18	3	0	0	0	0	4	11
0	1	10	1	12	0	1	11	21	18	11	29	3	0	1	1	0	0	3	9	39	5	7	21	11	2	0	15	7	0	0	1
1	0	0	7	4	1	3	20	62	2	1	15	0	1	1	2	3	1	8	1	23	13	14	21	27	1	3	4	0	1	0	0
3	3	13	3	1	0	4	9	33	7	13	7	10	6	4	4	2	0	4	1	6	0	4	67	11	0	0	9	3	3	4	6
2	0	0	7	5	0	2	20	51	13	0	8	4	0	2	6	0	0	8	2	13	5	10	46	9	6	5	4	0	1	2	9
1	6	1	1	5	4	3	15	35	6	2	14	6	11	4	6	0	3	1	0	11	10	16	43	14	0	4	0	0	2	8	8
0	2	7	2	2	4	2	17	27	3	25	10	3	7	4	5	0	0	1	6	22	1	14	40	7	1	2	3	5	9	1	8
4	0	0	11	10	0	1	10	56	6	0	9	4	1	4	4	0	0	11	6	19	3	2	43	14	5	6	2	0	6	1	2
2	1	8	11	4	2	4	4	30	0	8	26	7	12	1	0	16	0	2	5	18	3	3	37	20	0	2	7	3	3	1	0
0	6	3	2	8	0	6	11	28	14	10	24	4	1	1	2	0	0	13	10	22	6	8	25	10	6	6	2	0	7	3	2
2	3	4	6	9	1	3	8	9	9	11	42	11	1	1	0	0	0	7	13	12	3	29	20	6	2	2	10	10	6	0	0
0	6	7	2	14	0	1	6	18	0	16	31	15	1	3	0	0	1	3	13	24	7	10	26	8	1	0	9	11	5	1	1
2	6	3	2	2	2	1	18	32	1	14	19	6	3	3	6	1	2	0	2	15	1	12	51	8	2	0	8	5	6	2	5
0	1	2	4	5	2	5	17	26	4	5	27	15	2	4	1	0	0	6	8	20	5	10	35	10	0	1	6	9	6	3	1
4	2	5	4	9	1	0	11	29	12	3	23	9	4	2	2	4	3	0	6	14	6	11	40	10	2	7	6	4	2	3	2
5	2	2	4	0	1	2	20	57	0	0	6	6	0	4	11	6	3	5	9	5	0	6	50	16	0	0	2	7	1	0	10
2	2	4	6	6	0	0	16	49	3	2	15	3	1	3	8	4	0	5	2	14	4	1	54	6	2	0	11	4	2	3	8
2	0	2	10	1	0	0	21	50	8	1	3	12	3	2	5	3	0	3	13	12	1	5	47	18	1	0	2	4	4	0	7
1	0	2	2	10	2	4	15	29	4	12	32	3	1	2	1	0	2	1	5	20	5	11	40	9	1	1	13	8	3	1	0
3	1	1	4	4	0	0	23	50	3	1	19	5	2	2	2	5	0	1	6	5	1	1	65	17	2	0	2	4	1	2	8
3	3	0	12	4	2	3	9	31	10	8	28	4	2	1	0	0	0	1	2	32	9	7	33	16	1	1	6	11	0	1	0
3	0	3	7	1	0	2	20	55	8	3	5	3	2	4	4	1	0	1	10	24	5	5	38	18	0	0	5	5	0	3	5
5	3	3	7	1	0	0	17	60	5	0	1	3	3	2	10	16	2	4	9	9	0	1	43	25	0	0	1	1	2	3	4
1	0	2	6	4	0	3	20	36	2	4	30	5	4	1	2	0	1	1	7	34	4	7	30	16	1	2	6	6	3	1	1
1	0	3	9	3	0	2	18	31	11	7	24	5	1	1	4	2	1	2	0	26	4	12	37	14	2	5	5	8	2	0	0
10	1	1	14	1	0	0	9	58	2	0	1	6	2	4	11	15	6	2	14	0	0	0	47	14	0	0	0	0	0	3	19
0	1	2	7	9	0	1	16	42	6	13	14	3	2	1	3	0	0	1	1	24	5	11	42	8	2	0	9	9	1	4	3
0	0	0	3	15	4	1	13	1	3	8	65	4	0	0	3	0	0	0	0	48	14	8	14	17	3	1	9	5	0	1	0
1	0	2	3	1	0	1	28	57	1	0	19	2	0	0	5	0	0	7	8	9	11	0	49	15	1	0	11	1	5	0	3
0	2	3	9	5	0	0	17	30	5	0	29	14	1	2	3	0	1	3	8	13	7	6	46	7	0	1	7	15	2	2	2
3	1	6	4	1	0	0	21	48	8	3	8	12	5	0	0	0	0	2	14	12	0	1	55	18	0	0	0	5	2	7	4
2	5	2	6	4	1	2	14	25	2	13	38	2	1	0	3	1	0	4	6	23	4	5	41	29	0	0	2	5	0	0	0
0	2	4	9	3	0	0	18	43	8	4	19	3	3	1	3	0	2	7	8	20	4	0	43	14	0	0	5	9	4	4	0
19	2	3	3	1	0	0	8	79	1	0	1	3	0	0	0	5	3	3	15	12	3	1	42	27	0	0	2	1	1	3	2
0	0	1	7	4	1	0	23	19	3	8	35	14	2	1	2	0	0	1	5	17	1	3	57	14	4	1	4	5	2	2	4
2	1	1	12	0	0	0	20	49	2	7	15	7	1	0	3	2	0	2	3	19	2	0	56	15	2	1	3	5	3	0	7
0	0	0	5	8	3	6	14	22	3	14	43	2	0	0	0	0	0	0	0	31	3	9	41	6	3	3	10	13	1	0	0
12	4	9	1	3	0	1	6	67	3	0	12	0	0	1	1	2	0	5	2	12	6	7	50	22	0	4	4	3	1	0	2
4	3	4	4	1	0	0	20	60	6	4	6	6	1	1	0	0	0	1	5	6	2	0	70	20	0	0	0	6	1	4	5
0	0	0	3	8	3	1	21	2	4	13	59	4	1	0	1	0	0	0	0	15	8	14	47	2	2	1	13	12	3	2	1
7	1	5	2	0	0	0	21	51	3	0	3	8	0	7	12	16	9	2	4	3	0	0	50	20	0	0	0	0	0	1	15

